naslov,avtor,ocena,stevilo_ocen,want_to_read,prva_izdaja,stevilo_izdaj
Curtain: Poirot's last case,Agatha Christie,4.6666665,12,116,1975,105 
All Quiet on the Western Front,Erich Maria Remarque,4.142857,77,612,1928,224 
Much Adoe About Nothing,William Shakespeare,4.3333335,9,173,1600,397 
Little Women,Louisa May Alcott,4.0884957,113,"2,149",1848,1887 
Walt Whitman Leaves of Grass (1855 Edition),Walt Whitman,3.875,8,280,1855,716 
"Common sense: addressed to the inhabitants of America, on the following interesting subjects. ... A new edition, with several additions in the body of the work. To which is added an Appendix; together with an address to the people called Quakers. N. B. The new addition here given increases the work upwards of one-third.",Thomas Paine,4.2222223,9,161,1776,108 
The thoughts of the  Emperor M. Aurelius Antoninus.,Marcus Aurelius,4.0,122,"1,913",1626,365 
The Catcher in the Rye,J. D. Salinger,3.6016712,359,"1,871",1945,130 
The lives of the noble Grecians and Romanes,Plutarch,2.8333333,6,139,1564,322 
Pinocchio: The Story of a Puppet,Carlo Collodi,3.7619047,21,324,1883,430 
"T. Lucretii Cari De rerum natura libri sex: ad exemplar Gilberti Wakefield, A.B. cum ejusdem notis, commentariis, indicibus, fideliter excusi.",Titus Lucretius Carus,3.8,15,337,1486,537 
Frankenstein (Barnes & Noble Classics Series) (B&N Classics),Mary Shelley,3.959799,199,"1,436",1818,2184 
Rei Publicae libri decem,Πλάτων,3.75,52,577,1554,792 
Oedipus rex,Sophocles,3.4482758,29,149,1715,187 
The Faerie Queene: Book 1,Edmund Spenser,4.0,4,112,1590,139 
Gone with the Wind,Margaret Mitchell,3.4761906,42,613,1936,244 
C. Plini Secundi naturalis historiae libri XXXVII.,Pliny the Elder,4.3333335,3,186,1469,100 
Just So Stories,Rudyard Kipling,3.5714285,7,99,1922,245 
The Martian Chronicles,Ray Bradbury,4.089109,101,517,1950,138 
King Lear,William Shakespeare,4.0,15,292,1608,976 
Beloved,Toni Morrison,3.942029,69,"1,309",1987,104 
Sonette,William Shakespeare,4.0,9,272,1609,579 
The pilgrim's progress,John Bunyan,4.3333335,18,299,1678,683 
English Grammar,Lindley Murray,3.0,4,175,1795,126 
All's well that ends well.: From the text of Alexander Dyce's second ed.,William Shakespeare,3.8,10,102,1734,218 
The age of innocence,Edith Wharton,3.488372,43,474,1920,285 
Black beauty,Anna Sewell,4.2380953,21,320,1877,108 
El libro de los cuentos de Perrault,Charles Perrault,4.0,2,119,1675,206 
Essays of Michael Seigneur de Montaigne,"Montaigne, Michel de",3.75,4,88,1600,294 
